id,category,description,location,danger_score,health_risk,environment_damage,infrastructure_damage,fire_risk,flooding_indicator,urgency_keywords_score,human_harm_risk
1,Flooding,"Street flooded after heavy rain, blocking movement.",Abule Egba,0.89,0.28,0.87,0.62,0.76,0.24,0.11,0.26
2,Fire Hazard,Smoke coming from abandoned structure.,Ogba,0.48,0.15,0.35,0.41,0.69,0.68,0.23,0.95
3,Street Light Fault,Street light not working for 2 weeks.,Badagry,0.95,0.27,0.33,0.57,0.53,0.36,0.98,0.56
4,Road Damage,Damaged road making it difficult for vehicles to pass.,Ajah,0.97,0.14,0.8,0.48,0.11,0.4,0.88,0.73
5,Road Damage,Large pothole causing traffic buildup.,Badagry,0.76,0.29,0.75,0.64,0.56,0.85,0.54,0.31
6,Flooding,Floodwater entering shops and houses.,Badagry,0.47,0.36,0.24,0.72,0.49,0.24,0.63,0.87
7,Electricity Outage,Transformer sparking and making noise.,Surulere,0.8,0.28,0.56,0.5,0.11,0.29,0.79,0.26
8,Blocked Drainage,Drainage filled with plastic waste.,Surulere,0.13,0.76,0.6,0.18,0.12,0.81,0.56,0.51
9,Electricity Outage,Transformer sparking and making noise.,Abule Egba,0.15,0.89,0.22,0.24,0.72,0.64,0.72,0.88
10,Waste Management,Garbage not collected for over a week.,Badagry,0.96,0.6,0.29,0.86,0.71,0.67,0.82,0.53
11,Street Light Fault,Street light not working for 2 weeks.,Yaba,0.7,0.57,0.75,0.84,0.6,0.98,0.11,0.76
12,Road Damage,Large pothole causing traffic buildup.,Ikeja,0.19,0.46,0.25,0.79,0.53,0.11,0.54,0.66
13,Environmental Pollution,Oil spill contaminating the ground.,Abule Egba,0.49,0.58,0.6,0.83,0.12,0.95,0.2,0.34
14,Street Light Fault,Completely dark area at night due to faulty light.,Lekki,0.32,0.32,0.43,0.48,0.51,0.34,0.32,0.49
15,Security Issue,Area experiencing constant theft at night.,Lekki,0.47,0.56,0.51,0.86,0.99,0.73,0.82,0.71
16,Road Damage,Damaged road making it difficult for vehicles to pass.,Festac,0.17,0.27,0.27,0.49,0.59,0.45,0.72,0.31
17,Road Damage,Damaged road making it difficult for vehicles to pass.,Agege,0.67,0.5,0.52,0.6,0.11,0.64,0.62,0.17
18,Street Light Fault,Street light not working for 2 weeks.,Lekki,0.36,0.26,0.99,0.63,0.9,0.92,0.81,0.99
19,Environmental Pollution,Burning refuse causing air pollution.,Victoria Island,0.65,0.39,0.96,0.67,0.8,0.52,0.8,0.57
20,Security Issue,Suspicious gang movement reported.,Berger,0.94,0.13,0.77,0.79,0.38,0.94,0.84,0.22
21,Water Leakage,Water leakage causing erosion.,Badagry,0.59,0.61,0.99,0.14,0.63,0.82,0.48,0.33
22,Waste Management,Overflowing waste bins causing smell and flies.,Festac,0.64,0.83,0.8,0.72,0.77,0.78,0.13,0.49
23,Flooding,"Street flooded after heavy rain, blocking movement.",Surulere,0.7,0.4,0.8,0.26,0.62,0.62,0.86,0.47
24,Waste Management,Garbage not collected for over a week.,Berger,0.86,0.21,0.42,0.53,0.41,0.13,0.33,0.7
25,Street Light Fault,Street light not working for 2 weeks.,Surulere,0.54,0.8,0.63,0.8,0.46,0.47,0.37,0.89
26,Road Damage,Damaged road making it difficult for vehicles to pass.,Ikeja,0.59,0.56,0.23,0.52,0.6,0.78,0.41,0.45
27,Street Light Fault,Street light not working for 2 weeks.,Ajah,0.65,0.18,0.56,0.66,0.58,0.19,0.79,0.89
28,Flooding,Severe flooding due to blocked drainage.,Berger,0.93,0.65,0.3,0.93,0.6,0.5,0.96,0.11
29,Blocked Drainage,Drainage filled with plastic waste.,Badagry,0.48,0.98,0.52,0.24,0.66,0.15,0.73,0.63
30,Security Issue,Residents robbed by armed men.,Ikeja,0.1,0.87,0.27,0.31,0.29,0.64,0.26,0.28
31,Environmental Pollution,Thick smoke from nearby factory.,Victoria Island,0.85,0.61,0.82,0.2,0.16,0.99,0.78,0.65
32,Environmental Pollution,Oil spill contaminating the ground.,Victoria Island,0.66,0.55,0.85,0.8,0.31,0.47,0.36,0.26
33,Street Light Fault,Street light not working for 2 weeks.,Lekki,0.2,0.84,0.34,0.59,0.37,0.91,0.13,0.26
34,Security Issue,Residents robbed by armed men.,Ogba,0.76,0.21,0.68,0.41,0.38,0.64,0.11,0.18
35,Electricity Outage,Electric poles tilted dangerously.,Abule Egba,0.47,0.47,0.45,0.76,0.17,0.97,0.12,0.4
36,Environmental Pollution,Burning refuse causing air pollution.,Badagry,0.83,0.46,0.37,0.83,0.98,0.48,0.33,0.93
37,Water Leakage,Strong water pressure burst the pipe overnight.,Maryland,0.87,0.98,0.22,0.95,0.5,0.92,0.83,0.96
38,Street Light Fault,Street light not working for 2 weeks.,Ogba,0.78,0.26,0.5,0.17,0.78,0.79,0.98,0.91
39,Blocked Drainage,Blocked gutter causing mosquitoes.,Abule Egba,0.74,0.32,0.71,0.37,0.74,0.77,0.37,0.24
40,Road Damage,Part of the road collapsed after rainfall.,Festac,0.24,0.18,0.71,0.81,0.6,0.21,0.37,0.81
41,Blocked Drainage,Drainage filled with plastic waste.,Badagry,0.33,0.45,0.12,0.51,0.27,0.84,0.69,0.66
42,Environmental Pollution,Burning refuse causing air pollution.,Yaba,0.65,0.94,0.14,0.28,0.23,0.94,0.8,0.28
43,Flooding,Floodwater entering shops and houses.,Maryland,0.15,0.61,0.73,0.38,0.9,0.38,0.16,0.56
44,Blocked Drainage,Drainage filled with plastic waste.,Victoria Island,0.52,0.73,0.66,0.84,0.86,0.7,0.53,0.85
45,Waste Management,Illegal dumping of refuse beside the road.,Maryland,0.12,0.33,0.96,0.94,0.2,0.89,0.38,0.88
46,Street Light Fault,Completely dark area at night due to faulty light.,Agege,0.41,0.6,0.85,0.94,0.69,0.46,0.11,0.76
47,Electricity Outage,Power outage for 48 hours.,Badagry,0.45,0.5,0.97,0.86,0.84,0.29,0.84,0.35
48,Water Leakage,Water leakage causing erosion.,Ikeja,0.35,0.87,0.82,0.9,0.92,0.27,0.31,0.5
49,Road Damage,Damaged road making it difficult for vehicles to pass.,Yaba,0.29,0.75,0.37,0.82,0.85,0.74,0.29,0.26
50,Security Issue,Suspicious gang movement reported.,Yaba,0.43,0.77,0.81,0.7,0.4,0.96,0.77,0.37
51,Electricity Outage,Electric poles tilted dangerously.,Badagry,0.26,0.89,0.22,0.18,0.15,0.53,1.0,0.37
52,Electricity Outage,Transformer sparking and making noise.,Agege,0.96,0.62,0.45,0.61,0.96,0.83,0.78,0.79
53,Fire Hazard,Electric wire sparking near transformer.,Abule Egba,0.36,0.35,0.51,0.36,0.29,0.3,0.15,0.37
54,Electricity Outage,Power outage for 48 hours.,Berger,0.72,0.74,0.78,0.74,0.49,0.58,0.62,0.78
55,Fire Hazard,Smoke coming from abandoned structure.,Ogba,0.48,0.61,0.9,0.28,0.97,0.44,0.22,0.44
56,Flooding,"Street flooded after heavy rain, blocking movement.",Victoria Island,0.87,0.72,0.2,0.83,0.2,0.26,0.72,0.78
57,Security Issue,Area experiencing constant theft at night.,Maryland,0.88,0.5,0.41,0.73,0.54,0.3,0.62,0.64
58,Flooding,Floodwater entering shops and houses.,Yaba,0.35,0.77,0.75,0.52,0.44,0.75,0.7,0.22
59,Street Light Fault,Completely dark area at night due to faulty light.,Ogba,0.63,0.76,0.81,0.85,0.88,0.74,0.65,0.89
60,Security Issue,Suspicious gang movement reported.,Victoria Island,0.83,0.52,0.5,0.97,0.84,0.61,0.53,0.97
61,Street Light Fault,Completely dark area at night due to faulty light.,Yaba,0.27,0.98,0.63,0.76,0.54,0.55,0.46,0.21
62,Flooding,Floodwater entering shops and houses.,Ajah,0.23,0.1,0.58,0.24,0.83,0.48,0.85,0.91
63,Waste Management,Illegal dumping of refuse beside the road.,Lekki,0.29,0.97,0.81,0.12,0.41,0.19,0.48,0.49
64,Security Issue,Suspicious gang movement reported.,Yaba,0.77,0.28,0.53,0.36,0.65,0.37,0.28,0.9
65,Environmental Pollution,Oil spill contaminating the ground.,Yaba,0.42,0.19,0.4,0.12,0.53,0.16,0.69,0.7
66,Electricity Outage,Electric poles tilted dangerously.,Surulere,0.5,0.64,0.79,0.37,0.78,0.37,0.11,0.58
67,Water Leakage,Strong water pressure burst the pipe overnight.,Surulere,0.21,0.85,0.21,0.67,0.8,0.45,0.31,0.52
68,Water Leakage,Water leakage causing erosion.,Surulere,0.5,0.86,0.1,0.83,0.83,0.49,0.25,0.9
69,Blocked Drainage,Blocked gutter causing mosquitoes.,Agege,0.35,0.14,0.32,0.55,0.58,0.57,0.33,0.59
70,Street Light Fault,Completely dark area at night due to faulty light.,Maryland,0.41,0.61,0.72,0.17,0.15,0.89,0.38,0.23
71,Environmental Pollution,Burning refuse causing air pollution.,Surulere,0.63,0.55,0.85,0.45,0.33,0.15,0.18,0.39
72,Flooding,Severe flooding due to blocked drainage.,Agege,0.19,0.75,0.3,0.67,0.94,0.9,0.59,0.37
73,Street Light Fault,Completely dark area at night due to faulty light.,Ogba,0.78,0.22,0.13,0.18,0.22,0.4,0.17,0.68
74,Water Leakage,Burst water pipe wasting clean water.,Berger,0.57,0.8,0.41,0.36,0.57,0.83,0.69,0.91
75,Environmental Pollution,Oil spill contaminating the ground.,Ogba,0.65,0.86,0.72,0.14,0.57,0.81,0.11,0.82
76,Environmental Pollution,Oil spill contaminating the ground.,Oshodi,0.13,0.67,0.1,0.12,0.78,0.59,0.86,0.94
77,Street Light Fault,Flickering light causing visibility issues.,Festac,0.48,0.74,0.83,0.78,0.56,0.23,1.0,0.14
78,Road Damage,Part of the road collapsed after rainfall.,Abule Egba,0.35,0.83,0.55,0.31,0.75,0.95,0.47,0.64
79,Water Leakage,Strong water pressure burst the pipe overnight.,Ikorodu,0.55,0.8,0.89,0.98,0.91,0.57,0.76,0.99
80,Flooding,Floodwater entering shops and houses.,Yaba,0.41,0.98,0.87,0.46,0.95,0.22,0.24,0.32
81,Environmental Pollution,Oil spill contaminating the ground.,Yaba,0.16,0.29,0.5,0.59,0.52,0.16,0.58,0.25
82,Environmental Pollution,Thick smoke from nearby factory.,Agege,0.94,0.53,0.41,0.55,0.39,0.6,0.79,0.95
83,Flooding,Floodwater entering shops and houses.,Berger,0.93,0.4,0.85,0.24,0.61,0.96,0.22,0.26
84,Environmental Pollution,Burning refuse causing air pollution.,Ogba,0.66,0.58,1.0,0.1,0.58,0.5,0.6,0.98
85,Security Issue,Area experiencing constant theft at night.,Ikorodu,0.28,0.49,0.29,0.98,0.63,0.51,0.9,0.68
86,Street Light Fault,Completely dark area at night due to faulty light.,Abule Egba,0.77,0.37,0.94,0.22,0.9,0.94,0.12,0.4
87,Blocked Drainage,Sewage water overflowing onto the street.,Ogba,0.63,0.28,0.3,0.23,0.13,0.43,0.25,0.76
88,Blocked Drainage,Drainage filled with plastic waste.,Victoria Island,0.17,0.15,0.89,0.74,0.15,0.51,0.67,0.57
89,Environmental Pollution,Oil spill contaminating the ground.,Ogba,0.15,0.59,0.9,0.42,0.42,0.93,0.51,0.86
90,Environmental Pollution,Thick smoke from nearby factory.,Maryland,0.25,0.75,0.19,0.51,0.85,0.28,0.79,0.43
91,Blocked Drainage,Sewage water overflowing onto the street.,Oshodi,0.4,0.12,0.82,0.71,0.16,0.31,0.11,0.38
92,Water Leakage,Strong water pressure burst the pipe overnight.,Berger,0.18,0.53,0.28,0.63,0.37,0.9,0.74,0.13
93,Flooding,Floodwater entering shops and houses.,Lekki,0.13,0.71,0.76,0.84,0.21,0.63,0.38,0.78
94,Security Issue,Residents robbed by armed men.,Ikorodu,0.52,0.43,0.57,0.64,0.81,0.29,0.81,0.83
95,Waste Management,Illegal dumping of refuse beside the road.,Abule Egba,0.56,0.8,0.35,0.56,0.3,0.74,0.98,0.77
96,Blocked Drainage,Sewage water overflowing onto the street.,Ajah,0.52,0.86,0.31,0.25,0.35,0.34,0.77,0.43
97,Water Leakage,Strong water pressure burst the pipe overnight.,Agege,0.21,0.65,0.99,0.25,0.89,0.23,0.39,0.39
98,Water Leakage,Strong water pressure burst the pipe overnight.,Berger,0.55,0.63,0.59,0.63,0.86,0.92,0.52,0.82
99,Flooding,Floodwater entering shops and houses.,Ikeja,0.28,0.41,0.12,0.23,0.78,0.2,0.71,0.17
100,Water Leakage,Burst water pipe wasting clean water.,Ikeja,0.79,0.89,0.7,0.83,0.56,0.19,0.85,0.97
101,Fire Hazard,Gas smell around the building.,Berger,0.67,0.32,0.57,0.81,0.55,0.99,0.61,0.98
102,Road Damage,Damaged road making it difficult for vehicles to pass.,Surulere,0.27,0.31,0.7,0.97,0.34,0.57,0.74,0.24
103,Water Leakage,Burst water pipe wasting clean water.,Victoria Island,0.6,0.26,0.24,0.54,0.68,0.41,0.94,0.5
104,Flooding,"Street flooded after heavy rain, blocking movement.",Festac,0.45,0.7,0.63,0.6,0.64,0.56,0.47,0.45
105,Flooding,Floodwater entering shops and houses.,Surulere,0.31,0.21,0.85,0.49,0.48,0.46,0.72,0.2
106,Waste Management,Overflowing waste bins causing smell and flies.,Ajah,0.61,0.47,0.32,0.4,0.13,0.74,0.82,0.95
107,Road Damage,Part of the road collapsed after rainfall.,Abule Egba,0.73,0.74,0.23,0.65,0.72,0.4,0.94,0.59
108,Fire Hazard,Smoke coming from abandoned structure.,Festac,0.46,0.58,0.56,0.43,0.98,0.52,0.11,0.53
109,Blocked Drainage,Sewage water overflowing onto the street.,Badagry,0.91,0.24,0.21,0.13,0.48,0.27,0.1,0.33
110,Electricity Outage,Transformer sparking and making noise.,Ikeja,0.5,0.79,0.83,0.2,0.8,0.74,0.53,0.86
111,Electricity Outage,Power outage for 48 hours.,Berger,0.52,0.38,0.28,0.78,0.35,0.89,0.77,0.12
112,Water Leakage,Water leakage causing erosion.,Badagry,0.43,0.98,0.44,0.7,0.78,0.37,0.88,0.42
113,Blocked Drainage,Drainage filled with plastic waste.,Ajah,0.53,0.88,0.29,0.41,0.53,0.69,0.18,0.57
114,Blocked Drainage,Blocked gutter causing mosquitoes.,Festac,0.7,0.79,0.74,0.84,0.21,0.74,0.73,0.37
115,Environmental Pollution,Thick smoke from nearby factory.,Berger,0.82,0.86,0.55,0.6,0.43,0.39,0.25,0.11
116,Fire Hazard,Electric wire sparking near transformer.,Ajah,0.64,0.34,0.99,0.76,0.8,0.52,0.79,0.34
117,Flooding,Floodwater entering shops and houses.,Ikorodu,0.67,0.51,0.65,0.77,0.15,0.84,0.7,0.61
118,Environmental Pollution,Thick smoke from nearby factory.,Maryland,0.68,0.63,0.24,0.71,0.49,0.27,0.64,0.96
119,Street Light Fault,Street light not working for 2 weeks.,Agege,0.52,0.45,0.65,0.95,0.69,0.3,0.89,0.1
120,Road Damage,Part of the road collapsed after rainfall.,Ajah,0.57,0.64,0.12,0.89,0.48,0.45,0.27,0.45
121,Waste Management,Overflowing waste bins causing smell and flies.,Maryland,0.32,0.76,0.71,0.39,0.9,0.27,0.18,0.86
122,Waste Management,Illegal dumping of refuse beside the road.,Ogba,0.25,0.61,0.54,0.51,0.79,0.28,0.95,0.17
123,Security Issue,Residents robbed by armed men.,Abule Egba,0.37,0.3,0.52,0.17,0.43,0.11,0.38,0.14
124,Environmental Pollution,Oil spill contaminating the ground.,Oshodi,0.66,0.74,0.43,0.89,0.25,0.39,0.45,0.15
125,Waste Management,Overflowing waste bins causing smell and flies.,Yaba,0.4,0.87,0.33,0.69,0.78,0.28,0.22,0.44
126,Road Damage,Part of the road collapsed after rainfall.,Oshodi,0.51,0.95,0.11,0.59,0.72,0.8,0.48,0.48
127,Blocked Drainage,Blocked gutter causing mosquitoes.,Festac,0.18,0.74,0.38,0.48,0.76,0.33,0.54,0.31
128,Road Damage,Damaged road making it difficult for vehicles to pass.,Maryland,0.53,0.38,0.68,0.54,0.9,0.83,0.46,0.58
129,Road Damage,Part of the road collapsed after rainfall.,Berger,0.17,0.65,0.78,0.98,0.23,0.55,0.43,0.2
130,Flooding,Floodwater entering shops and houses.,Yaba,0.81,0.27,0.2,0.54,0.73,0.57,0.23,0.27
131,Waste Management,Overflowing waste bins causing smell and flies.,Maryland,0.31,0.96,0.13,0.38,0.37,0.22,0.92,0.3
132,Road Damage,Part of the road collapsed after rainfall.,Maryland,0.94,0.45,0.21,0.44,0.72,0.93,0.78,0.79
133,Waste Management,Illegal dumping of refuse beside the road.,Surulere,0.29,0.71,0.4,0.58,0.64,0.48,0.35,0.93
134,Road Damage,Damaged road making it difficult for vehicles to pass.,Ogba,0.38,0.24,0.93,0.89,0.53,0.25,0.54,0.56
135,Electricity Outage,Transformer sparking and making noise.,Ikeja,0.65,0.88,0.79,0.85,0.18,0.71,0.14,0.57
136,Fire Hazard,Gas smell around the building.,Berger,0.88,0.29,0.67,0.19,0.56,0.9,0.29,0.91
137,Security Issue,Suspicious gang movement reported.,Yaba,0.77,0.95,0.69,0.8,0.7,0.98,0.54,0.4
138,Environmental Pollution,Oil spill contaminating the ground.,Surulere,0.77,0.53,0.28,0.75,0.14,0.61,0.46,0.9
139,Security Issue,Residents robbed by armed men.,Berger,0.5,0.75,0.89,0.38,0.25,0.13,0.57,0.46
140,Electricity Outage,Electric poles tilted dangerously.,Abule Egba,0.77,0.38,0.12,0.6,0.68,0.91,0.23,0.65
141,Flooding,Floodwater entering shops and houses.,Ogba,0.95,0.86,0.95,0.68,0.8,0.23,0.41,0.88
142,Environmental Pollution,Oil spill contaminating the ground.,Maryland,0.65,0.48,0.46,0.68,0.86,0.35,0.9,0.49
143,Fire Hazard,Gas smell around the building.,Festac,0.15,0.63,0.81,0.12,0.83,0.6,0.79,0.46
144,Blocked Drainage,Blocked gutter causing mosquitoes.,Ajah,0.98,0.84,0.57,0.52,0.83,0.49,0.78,0.36
145,Blocked Drainage,Blocked gutter causing mosquitoes.,Lekki,0.23,0.33,0.14,0.81,0.53,0.17,0.92,0.67
146,Security Issue,Suspicious gang movement reported.,Festac,0.61,0.18,0.51,0.65,0.87,0.17,0.8,0.65
147,Blocked Drainage,Drainage filled with plastic waste.,Abule Egba,0.47,0.11,0.66,0.66,0.64,0.11,0.83,0.32
148,Waste Management,Garbage not collected for over a week.,Ikorodu,0.4,0.47,0.66,0.36,0.24,0.58,0.2,0.35
149,Electricity Outage,Electric poles tilted dangerously.,Ogba,0.68,0.77,0.78,0.32,0.58,0.78,0.63,0.52
150,Flooding,Severe flooding due to blocked drainage.,Ajah,0.81,0.95,0.29,0.91,0.86,0.37,0.22,0.1
151,Fire Hazard,Electric wire sparking near transformer.,Surulere,0.22,0.87,0.16,0.4,0.58,0.45,0.6,0.26
152,Environmental Pollution,Oil spill contaminating the ground.,Yaba,0.75,0.61,0.52,0.85,0.71,0.8,0.72,0.45
153,Flooding,Severe flooding due to blocked drainage.,Berger,0.19,0.41,0.38,0.54,0.14,0.7,0.86,0.58
154,Water Leakage,Burst water pipe wasting clean water.,Victoria Island,0.15,0.97,0.35,0.56,0.64,0.7,0.58,0.49
155,Street Light Fault,Flickering light causing visibility issues.,Ikorodu,0.11,0.44,0.12,0.19,0.83,0.73,0.84,0.26
156,Road Damage,Large pothole causing traffic buildup.,Lekki,0.54,0.63,0.11,0.91,0.31,0.38,0.13,0.41
157,Waste Management,Illegal dumping of refuse beside the road.,Lekki,0.47,0.58,0.29,0.46,0.79,0.21,0.3,0.95
158,Road Damage,Part of the road collapsed after rainfall.,Oshodi,0.42,0.79,0.38,0.88,0.4,0.26,0.1,0.79
159,Flooding,Floodwater entering shops and houses.,Lekki,0.16,0.44,0.47,0.79,0.16,0.24,0.23,0.17
160,Fire Hazard,Gas smell around the building.,Abule Egba,0.99,0.52,0.92,0.86,0.21,0.26,0.13,0.78
161,Environmental Pollution,Oil spill contaminating the ground.,Ajah,0.72,0.94,0.34,0.52,0.81,0.7,0.17,0.11
162,Fire Hazard,Electric wire sparking near transformer.,Abule Egba,0.62,0.92,0.87,0.82,0.95,0.14,0.35,0.95
163,Water Leakage,Water leakage causing erosion.,Ajah,0.53,0.93,0.77,0.19,0.3,0.42,0.57,0.66
164,Road Damage,Large pothole causing traffic buildup.,Ogba,0.35,0.12,0.61,0.94,0.89,0.31,0.44,0.42
165,Blocked Drainage,Sewage water overflowing onto the street.,Maryland,0.44,0.93,0.79,0.15,0.46,0.65,0.13,0.77
